Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings
Bahubali: The Beginning,2015.0,UA,"Action, Drama            ","    In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",159,8.1,99114
Baahubali 2: The Conclusion,2017.0,UA,"Action, Drama            ","    When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",167,8.2,71458
1 - Nenokkadine,2014.0,UA,"Action, Thriller            ",    A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,170,8.1,42372
Dhoom:3,2013.0,UA,"Action, Thriller            ","    When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.",172,5.4,42112
Ra.One,2011.0,U,"Action, Adventure, Sci-Fi            ","    When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",156,4.6,37211
Dhoom:2,2006.0,UA,"Action, Thriller            ","    Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them.",152,6.5,22983
Eega,2012.0,UA,"Action, Fantasy            ",    A murdered man is reincarnated as a housefly and seeks to avenge his death.,145,7.7,20636
Krrish 3,2013.0,U,"Action, Sci-Fi            ","    Krrish and his scientist father have to save the world and their own family from an evil man named Kaal and his gang of mutants, led by the ruthless Kaya.",152,5.2,20026
Arjun Reddy,2017.0,A,"Action, Drama, Romance            ","    Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.",182,8.1,19419
Rangasthalam,2018.0,UA,"Action, Drama            ","    The fear of his elder brother's death starts to haunt an innocent, hearing impaired guy after they both join forces to overthrow the unlawful 30 year long regime of their village's president.",170,8.4,17559
Magadheera,2009.0,A,"Action, Drama, Fantasy            ","    A bike stuntman recalls his previous life as a warrior, and pursues his love's reincarnation. A sinister figure from their shared past threatens to separate them forever.",166,7.6,17542
War,2019.0,UA,"Action, Thriller            ",    An Indian soldier chases after his mentor who has gone rogue following an unexpected kill.,154,6.5,17459
Bharat Ane Nenu,2018.0,UA,"Action, Drama            ","    Bharat, an young graduate, becomes the C.M of Andhra Pradesh (pre-div) after his father demise without any political knowledge, faces challenges in the process of reform the society.",173,7.7,14945
Saaho,2019.0,UA,"Action, Thriller            ","    An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box,"" their ultimate key to a treasure.",170,5.2,14430
Theri,2016.0,U,"Action, Drama            ","    When his daughter's life is endangered by a local gang, Joseph Kuruvilla will do whatever it takes to stop them. However, at the same time, his dangerous past slowly resurfaces.",157,7.1,12390
Dookudu,2011.0,UA,"Action, Comedy            ","    Ajay, (Mahesh Babu) an undercover cop, is assigned to catch a dangerous mafia don with whom he has a personal score to settle.",170,7.4,12295
Pokiri,2006.0,A,"Action, Thriller            ","    A local goon's killer instincts earn him his girlfriend's disapproval, a corrupt cop's enmity and a wanted don's attention.",164,7.9,12137
Sarkar,2018.0,UA,"Action, Drama            ","    An NRI businessman learns his vote has been cast by someone else and decides to investigate the matter, eventually finding himself pitted against two corrupt politicians.",163,6.8,12003
Athadu,2005.0,U,"Action, Thriller            ","    A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.",172,8.2,11459
The Ghazi Attack,2017.0,UA,"Action, Thriller, War            ","    A Pakistani submarine, Ghazi plans to secretly attack Vizag port. For doing so, it has to get past Indian submarine S21.",116,7.6,11191
Kabali,2016.0,U,"Action, Crime, Drama            ","    Returning from prison, aged gangster Kabali confronts those who had destroyed his life. While doing so, he learns about what had happened to his family when he was gone.",153,6.2,11156
MSG: The Messenger of God,2015.0,U,"Action, Comedy, Drama            ",    Guru Ji is a social reformer who works to help people fight against social evils.,197,5.9,11128
Nanban,2012.0,U,"Comedy, Drama            ","    10 years after finishing college, two best friends and their enemy go on a search for their third friend, while finding out some truths along the way.",188,7.4,10973
Srimanthudu,2015.0,UA,"Action, Drama            ","    Harsha, a multi-millionaire who has everything, still feels that there is something missing in his life. In an attempt to fill the void, he adopts a village to bring change in the people.",158,7.5,10778
Veer - Vivegam,2017.0,UA,"Action, Thriller            ",    An Interpol agent betrayed by his friends sets out to take revenge against the friends who work for a secret agency.,149,5.6,10399
Billa 2,2012.0,A,"Action, Thriller            ","    Small-time diamond smuggler David befriends Goa-based gangster Abbasi. But when David begins to build inroads with an international gangster, Abbasi is not happy. Soon the two turn into bitter rivals.",129,6.2,10038
7 Aum Arivu,2011.0,U,"Action, Sci-Fi, Thriller            ",    A genetic engineering student tries to bring back the skills of a legend of the past and use his skills to save India from a deadly virus attack by China.,160,6.2,9482
Bigil,2019.0,UA,"Action, Drama, Sport            ",    A former football player struggles to train a women's football team and avenge his father's death.,179,6.8,9337
Business Man,2012.0,A,"Action, Crime            ",    Surya arrives in Mumbai to revive the mafia and ends up making enemies who threaten his life.,133,7.1,9265
Geetha Govindam,2018.0,UA,"Drama, Romance            ",    An innocent young lecturer is misunderstood as a pervert and despised by a woman who co-incidentally turns out to be the younger sister of his brother-in-law. Eventually differences subside and love blooms between them.,142,7.7,8846
Mahanati,2018.0,U,"Biography, Drama            ","    Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.",177,8.5,8732
